add;flt;64;128;value;aarch64;Fail
mul;flt;32;1;value;aarch64;Success;
mul;flt;32;2;value;aarch64;Fail
mul;flt;32;4;value;aarch64;Fail
mul;flt;32;8;value;aarch64;Fail
mul;flt;32;16;value;aarch64;Fail
mul;flt;32;32;value;aarch64;Fail
mul;flt;32;64;value;aarch64;Fail
mul;flt;32;128;value;aarch64;Fail
mul;flt;64;1;value;aarch64;Success;
mul;flt;64;2;value;aarch64;Fail
mul;flt;64;4;value;aarch64;Fail
mul;flt;64;8;value;aarch64;Fail
mul;flt;64;16;value;aarch64;Fail
mul;flt;64;32;value;aarch64;Fail
mul;flt;64;64;value;aarch64;Fail
mul;flt;64;128;value;aarch64;Fail
sub;flt;32;1;value;aarch64;Success;
sub;flt;32;2;value;aarch64;Fail
sub;flt;32;4;value;aarch64;Fail
sub;flt;32;8;value;aarch64;Fail
sub;flt;32;16;value;aarch64;Fail
sub;flt;32;32;value;aarch64;Fail
sub;flt;32;64;value;aarch64;Fail
sub;flt;32;128;value;aarch64;Fail
sub;flt;64;1;value;aarch64;Success;
sub;flt;64;2;value;aarch64;Fail
sub;flt;64;4;value;aarch64;Fail
sub;flt;64;8;value;aarch64;Fail
sub;flt;64;16;value;aarch64;Fail
sub;flt;64;32;value;aarch64;Fail
sub;flt;64;64;value;aarch64;Fail
sub;flt;64;128;value;aarch64;Fail
div;flt;32;1;value;aarch64;Success;
div;flt;32;2;value;aarch64;Fail
div;flt;32;4;value;aarch64;Fail
div;flt;32;8;value;aarch64;Fail
div;flt;32;16;value;aarch64;Fail
div;flt;32;32;value;aarch64;Fail
div;flt;32;64;value;aarch64;Fail
div;flt;32;128;value;aarch64;Fail
div;flt;64;1;value;aarch64;Success;
div;flt;64;2;value;aarch64;Fail
div;flt;64;4;value;aarch64;Fail
div;flt;64;8;value;aarch64;Fail
div;flt;64;16;value;aarch64;Fail
div;flt;64;32;value;aarch64;Fail
div;flt;64;64;value;aarch64;Fail
div;flt;64;128;value;aarch64;Fail
mod;int;8;1;value;aarch64;Fail
mod;int;8;2;value;aarch64;Fail
mod;int;8;4;value;aarch64;Fail
mod;int;8;8;value;aarch64;Fail
mod;int;8;16;value;aarch64;Fail
mod;int;8;32;value;aarch64;Fail
mod;int;8;64;value;aarch64;Fail
mod;int;8;128;value;aarch64;Fail
mod;int;16;1;value;aarch64;Fail
mod;int;16;2;value;aarch64;Fail
mod;int;16;4;value;aarch64;Fail
mod;int;16;8;value;aarch64;Fail
mod;int;16;16;value;aarch64;Fail
mod;int;16;32;value;aarch64;Fail
mod;int;16;64;value;aarch64;Fail
mod;int;16;128;value;aarch64;Fail
mod;int;32;1;value;aarch64;Fail
mod;int;32;2;value;aarch64;Fail
mod;int;32;4;value;aarch64;Fail
mod;int;32;8;value;aarch64;Fail
mod;int;32;16;value;aarch64;Fail
mod;int;32;32;value;aarch64;Fail
mod;int;32;64;value;aarch64;Fail
mod;int;32;128;value;aarch64;Fail
mod;int;64;1;value;aarch64;Fail
mod;int;64;2;value;aarch64;Fail
mod;int;64;4;value;aarch64;Fail
mod;int;64;8;value;aarch64;Fail
mod;int;64;16;value;aarch64;Fail
mod;int;64;32;value;aarch64;Fail
mod;int;64;64;value;aarch64;Fail
mod;int;64;128;value;aarch64;Fail
or;int;8;1;value;aarch64;Success;
or;int;8;2;value;aarch64;Fail
or;int;8;4;value;aarch64;Fail
or;int;8;8;value;aarch64;Fail
or;int;8;16;value;aarch64;Fail
or;int;8;32;value;aarch64;Fail
or;int;8;64;value;aarch64;Fail
or;int;8;128;value;aarch64;Fail
or;int;16;1;value;aarch64;Success;
or;int;16;2;value;aarch64;Fail
or;int;16;4;value;aarch64;Success;
or;int;16;8;value;aarch64;Fail
or;int;16;16;value;aarch64;Fail
or;int;16;32;value;aarch64;Fail
or;int;16;64;value;aarch64;Fail
or;int;16;128;value;aarch64;Fail
or;int;32;1;value;aarch64;Success;
or;int;32;2;value;aarch64;Fail
or;int;32;4;value;aarch64;Success;
or;int;32;8;value;aarch64;Fail
or;int;32;16;value;aarch64;Fail
or;int;32;32;value;aarch64;Fail
or;int;32;64;value;aarch64;Fail
or;int;32;128;value;aarch64;Fail
or;int;64;1;value;aarch64;Success;
or;int;64;2;value;aarch64;Fail
or;int;64;4;value;aarch64;Fail
or;int;64;8;value;aarch64;Fail
or;int;64;16;value;aarch64;Fail
or;int;64;32;value;aarch64;Fail
or;int;64;64;value;aarch64;Fail
or;int;64;128;value;aarch64;Fail
and;int;8;1;value;aarch64;Success;
and;int;8;2;value;aarch64;Fail
and;int;8;4;value;aarch64;Fail
and;int;8;8;value;aarch64;Fail
and;int;8;16;value;aarch64;Fail
and;int;8;32;value;aarch64;Fail
and;int;8;64;value;aarch64;Fail
and;int;8;128;value;aarch64;Fail
and;int;16;1;value;aarch64;Success;
and;int;16;2;value;aarch64;Fail
and;int;16;4;value;aarch64;Success;
and;int;16;8;value;aarch64;Fail
and;int;16;16;value;aarch64;Fail
and;int;16;32;value;aarch64;Fail
and;int;16;64;value;aarch64;Fail
and;int;16;128;value;aarch64;Fail
and;int;32;1;value;aarch64;Success;
and;int;32;2;value;aarch64;Fail
and;int;32;4;value;aarch64;Success;
and;int;32;8;value;aarch64;Fail
and;int;32;16;value;aarch64;Fail
and;int;32;32;value;aarch64;Fail
and;int;32;64;value;aarch64;Fail
and;int;32;128;value;aarch64;Fail
and;int;64;1;value;aarch64;Success;
and;int;64;2;value;aarch64;Fail
and;int;64;4;value;aarch64;Fail
and;int;64;8;value;aarch64;Fail
and;int;64;16;value;aarch64;Fail
and;int;64;32;value;aarch64;Fail
and;int;64;64;value;aarch64;Fail
and;int;64;128;value;aarch64;Fail
xor;int;8;1;value;aarch64;Success;
xor;int;8;2;value;aarch64;Fail
xor;int;8;4;value;aarch64;Fail
xor;int;8;8;value;aarch64;Fail
xor;int;8;16;value;aarch64;Fail
xor;int;8;32;value;aarch64;Fail
xor;int;8;64;value;aarch64;Fail
xor;int;8;128;value;aarch64;Fail
xor;int;16;1;value;aarch64;Success;
xor;int;16;2;value;aarch64;Fail
xor;int;16;4;value;aarch64;Success;
xor;int;16;8;value;aarch64;Fail
xor;int;16;16;value;aarch64;Fail
xor;int;16;32;value;aarch64;Fail
xor;int;16;64;value;aarch64;Fail
xor;int;16;128;value;aarch64;Fail
xor;int;32;1;value;aarch64;Success;
xor;int;32;2;value;aarch64;Fail
xor;int;32;4;value;aarch64;Success;
xor;int;32;8;value;aarch64;Fail
xor;int;32;16;value;aarch64;Fail
